Cluster,ClusterRank,deltaG,deltaGelec,deltaGvdw,deltaGligsolvnonpol,deltaGligsolvpol,deltaGprotsolvnonpol,deltaGprotsolvpol,deltaGcompsolvnonpol,deltaGcompsolvpol,extraFull,surfFull,solvFull,IntraFull,InterFull,FullFitness,SimpleFitness,Energy
0,0,-8.896393,0.0,-79.9645,8.25538,-49.102,261.519,-2098.48,259.678,-2088.54,0.0,259.678,-2088.54,-7.6358,-79.9645,-1916.4624,-9.70018,-9.70018
0,1,-8.624767,0.0,-72.6194,8.25341,-48.8054,261.519,-2098.48,259.748,-2095.27,0.0,259.748,-2095.27,-7.94206,-72.6194,-1916.0835,-9.68753,-9.68753
0,2,-8.491932,0.0,-77.2724,8.22787,-49.1229,261.519,-2098.48,260.017,-2086.68,0.0,260.017,-2086.68,-8.93557,-77.2724,-1912.871,-9.03888,-9.03888
0,3,-8.282026,0.0,-75.0899,8.19874,-49.283,261.519,-2098.48,260.186,-2087.09,0.0,260.186,-2087.09,-9.18119,-75.0899,-1911.175,-8.30108,-8.30108
0,4,-7.952406,0.0,-69.972,8.21944,-49.5259,261.519,-2098.48,259.684,-2089.05,0.0,259.684,-2089.05,-3.99045,-69.972,-1903.3285,0.781475,0.781475
1,0,-8.463534,0.0,-79.6423,8.04056,-48.4237,261.519,-2098.48,262.577,-2086.1,0.0,262.577,-2086.1,-10.0581,-79.6423,-1913.2235,-5.28039,-5.28039
1,1,-8.463534,0.0,-79.6423,8.04056,-48.4237,261.519,-2098.48,262.577,-2086.1,0.0,262.577,-2086.1,-10.0581,-79.6423,-1913.2235,-5.28039,-5.28039
1,2,-7.980885,0.0,-66.7217,8.05473,-48.4531,261.519,-2098.48,262.232,-2097.66,0.0,262.232,-2097.66,-10.9304,-66.7217,-1913.0801,-3.07573,-3.07573
1,3,-7.947698,0.0,-65.9657,8.05503,-48.463,261.519,-2098.48,262.183,-2098.22,0.0,262.183,-2098.22,-11.038,-65.9657,-1913.0406,-3.0488,-3.0488
1,4,-7.9066615,0.0,-64.7323,8.05333,-48.499,261.519,-2098.48,262.096,-2099.36,0.0,262.096,-2099.36,-10.8772,-64.7323,-1912.8738,-2.7893,-2.7893
1,5,-8.39729,0.0,-78.5311,8.05212,-48.4116,261.519,-2098.48,262.483,-2086.56,0.0,262.483,-2086.56,-10.1386,-78.5311,-1912.7467,-5.31324,-5.31324
1,6,-8.079756,0.0,-72.5074,8.05817,-48.2041,261.519,-2098.48,262.298,-2090.18,0.0,262.298,-2090.18,-10.9867,-72.5074,-1911.3761,-4.66168,-4.66168
1,7,-8.079756,0.0,-72.5074,8.05817,-48.2041,261.519,-2098.48,262.298,-2090.18,0.0,262.298,-2090.18,-10.9867,-72.5074,-1911.3761,-4.66168,-4.66168
2,0,-9.235438,0.0,-96.4132,7.97696,-47.842,261.519,-2098.48,261.868,-2071.21,0.0,261.868,-2071.21,-6.76491,-96.4132,-1912.5201,-9.34038,-9.34038
3,0,-8.445268,0.0,-80.8442,8.16753,-49.5412,261.519,-2098.48,262.302,-2084.44,0.0,262.302,-2084.44,-8.51466,-80.8442,-1911.4968,-3.64926,-3.64926
3,1,-8.460046,0.0,-81.3024,8.15898,-49.5632,261.519,-2098.48,262.316,-2084.03,0.0,262.316,-2084.03,-8.43102,-81.3024,-1911.4474,-3.6802,-3.6802
3,2,-8.771892,0.0,-88.5778,7.94524,-49.0208,261.519,-2098.48,262.324,-2077.68,0.0,262.324,-2077.68,-6.54476,-88.5778,-1910.4785,-4.20032,-4.20032
3,3,-9.087601,0.0,-93.9406,7.98219,-47.7321,261.519,-2098.48,261.979,-2072.67,0.0,261.979,-2072.67,-5.12901,-93.9406,-1909.7605,-7.21275,-7.21275
3,4,-8.266223,0.0,-81.2332,8.15517,-49.3155,261.519,-2098.48,262.149,-2080.47,0.0,262.149,-2080.47,-8.2613,-81.2332,-1907.8154,-1.70084,-1.70084
3,5,-8.702551,0.0,-87.3819,8.05923,-49.2419,261.519,-2098.48,262.065,-2078.04,0.0,262.065,-2078.04,-2.74472,-87.3819,-1906.1018,-0.798533,-0.798533
3,6,-8.584064,0.0,-85.0667,8.05478,-49.2074,261.519,-2098.48,262.107,-2079.72,0.0,262.107,-2079.72,-3.28704,-85.0667,-1905.9668,-0.686675,-0.686675
4,0,-7.7090425,0.0,-63.1035,8.19453,-49.381,261.519,-2098.48,261.538,-2098.45,0.0,261.538,-2098.45,-9.98248,-63.1035,-1909.9979,-2.51048,-2.51048
4,1,-7.6229997,0.0,-61.2374,8.21243,-49.3852,261.519,-2098.48,261.483,-2099.82,0.0,261.483,-2099.82,-9.72205,-61.2374,-1909.2965,-1.82665,-1.82665
4,2,-7.731456,0.0,-63.8322,8.22381,-49.4766,261.519,-2098.48,261.195,-2097.21,0.0,261.195,-2097.21,-9.359,-63.8322,-1909.206,-2.6608,-2.6608
4,3,-7.6110644,0.0,-60.9828,8.19783,-49.3855,261.519,-2098.48,261.592,-2100.21,0.0,261.592,-2100.21,-9.60284,-60.9828,-1909.2036,-1.4424,-1.4424
4,4,-7.605735,0.0,-61.1575,8.20609,-49.3726,261.519,-2098.48,261.568,-2099.79,0.0,261.568,-2099.79,-9.81798,-61.1575,-1909.1976,-1.74419,-1.74419
4,5,-7.8036,0.0,-70.228,8.24314,-49.1179,261.519,-2098.48,260.675,-2087.31,0.0,260.675,-2087.31,-8.82976,-70.228,-1905.6929,-1.43697,-1.43697
4,6,-7.714341,0.0,-69.332,8.25617,-49.1027,261.519,-2098.48,260.713,-2087.26,0.0,260.713,-2087.26,-8.5655,-69.332,-1904.4445,-0.930104,-0.930104
4,7,-7.6723123,0.0,-69.087,8.26297,-49.0785,261.519,-2098.48,260.773,-2087.01,0.0,260.773,-2087.01,-8.2556,-69.087,-1903.5796,-0.375304,-0.375304
5,0,-8.035457,0.0,-71.6424,8.10162,-49.6023,261.519,-2098.48,262.664,-2092.69,0.0,262.664,-2092.69,-8.21205,-71.6424,-1909.8804,4.22571,4.22571
5,1,-8.035457,0.0,-71.6424,8.10162,-49.6023,261.519,-2098.48,262.664,-2092.69,0.0,262.664,-2092.69,-8.21205,-71.6424,-1909.8804,4.22571,4.22571
5,2,-8.063431,0.0,-71.991,8.1011,-49.5668,261.519,-2098.48,262.61,-2092.49,0.0,262.61,-2092.49,-7.8091,-71.991,-1909.68,4.30833,4.30833
5,3,-8.063431,0.0,-71.991,8.1011,-49.5668,261.519,-2098.48,262.61,-2092.49,0.0,262.61,-2092.49,-7.8091,-71.991,-1909.68,4.30833,4.30833
5,4,-8.063431,0.0,-71.991,8.1011,-49.5668,261.519,-2098.48,262.61,-2092.49,0.0,262.61,-2092.49,-7.8091,-71.991,-1909.68,4.30833,4.30833
5,5,-8.063431,0.0,-71.991,8.1011,-49.5668,261.519,-2098.48,262.61,-2092.49,0.0,262.61,-2092.49,-7.8091,-71.991,-1909.68,4.30833,4.30833
5,6,-8.066536,0.0,-72.0019,8.09711,-49.5769,261.519,-2098.48,262.584,-2092.5,0.0,262.584,-2092.5,-7.62512,-72.0019,-1909.543,4.37904,4.37904
5,7,-8.066536,0.0,-72.0019,8.09711,-49.5769,261.519,-2098.48,262.584,-2092.5,0.0,262.584,-2092.5,-7.62512,-72.0019,-1909.543,4.37904,4.37904
6,0,-8.886983,0.0,-91.266,7.95606,-49.7032,261.519,-2098.48,259.891,-2072.31,0.0,259.891,-2072.31,-5.22614,-91.266,-1908.9113,-13.9759,-13.9759
6,1,-8.8647375,0.0,-90.9323,7.97534,-49.6796,261.519,-2098.48,259.911,-2072.44,0.0,259.911,-2072.44,-5.39431,-90.9323,-1908.8556,-14.1542,-14.1542
6,2,-8.8647375,0.0,-90.9323,7.97534,-49.6796,261.519,-2098.48,259.911,-2072.44,0.0,259.911,-2072.44,-5.39431,-90.9323,-1908.8556,-14.1542,-14.1542
6,3,-8.841831,0.0,-90.599,7.98327,-49.668,261.519,-2098.48,259.913,-2072.56,0.0,259.913,-2072.56,-5.45062,-90.599,-1908.6967,-14.1905,-14.1905
6,4,-8.839161,0.0,-90.5683,7.98634,-49.6643,261.519,-2098.48,259.916,-2072.56,0.0,259.916,-2072.56,-5.46746,-90.5683,-1908.6797,-14.1981,-14.1981
6,5,-8.889175,0.0,-91.3633,7.94481,-49.7504,261.519,-2098.48,259.878,-2072.24,0.0,259.878,-2072.24,-4.74126,-91.3633,-1908.4666,-13.9407,-13.9407
6,6,-8.889175,0.0,-91.3633,7.94481,-49.7504,261.519,-2098.48,259.878,-2072.24,0.0,259.878,-2072.24,-4.74126,-91.3633,-1908.4666,-13.9407,-13.9407
6,7,-8.888667,0.0,-91.2965,7.93103,-49.789,261.519,-2098.48,259.862,-2072.37,0.0,259.862,-2072.37,-4.29345,-91.2965,-1908.0979,-13.878,-13.878
7,0,-6.333993,0.0,-25.6175,8.03563,-48.2554,261.519,-2098.48,262.22,-2134.1,0.0,262.22,-2134.1,-11.3474,-25.6175,-1908.845,3.01017,3.01017
7,1,-6.315052,0.0,-25.0096,8.02659,-48.3668,261.519,-2098.48,262.197,-2134.82,0.0,262.197,-2134.82,-11.0776,-25.0096,-1908.7102,3.24539,3.24539
7,2,-6.3231726,0.0,-25.7401,8.02114,-48.3436,261.519,-2098.48,262.146,-2133.73,0.0,262.146,-2133.73,-10.8488,-25.7401,-1908.1729,3.22791,3.22791
7,3,-6.2509027,0.0,-25.3427,8.03313,-48.6015,261.519,-2098.48,261.465,-2132.35,0.0,261.465,-2132.35,-10.0964,-25.3427,-1906.3243,4.42765,4.42765
7,4,-6.1296635,0.0,-23.5369,8.01941,-48.7552,261.519,-2098.48,261.274,-2133.04,0.0,261.274,-2133.04,-9.74907,-23.5369,-1905.052,5.21307,5.21307
