Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
0 0 -9.920035 0.0 -75.7871 11.0564 -59.0478 253.257 -2245.21 250.116 -2262.06 0.0 250.116 -2262.06 70.4017 -75.7871 -2017.3296 24.2429 24.2429
0 1 -9.916207 0.0 -75.865 11.0595 -59.0662 253.257 -2245.21 250.109 -2261.88 0.0 250.109 -2261.88 70.4193 -75.865 -2017.2167 24.26 24.26
0 2 -10.00287 0.0 -75.2082 11.3001 -59.0496 253.257 -2245.21 250.256 -2264.15 0.0 250.256 -2264.15 73.3798 -75.2082 -2015.7223 29.6204 29.6204
0 3 -9.943692 0.0 -75.5546 11.1417 -58.0668 253.257 -2245.21 250.004 -2261.52 0.0 250.004 -2261.52 74.5365 -75.5546 -2012.534 32.3199 32.3199
0 4 -9.953862 0.0 -75.7099 11.1435 -58.0642 253.257 -2245.21 249.997 -2261.43 0.0 249.997 -2261.43 74.6382 -75.7099 -2012.5048 32.3264 32.3264
0 5 -9.234237 0.0 -65.9699 11.2506 -59.1392 253.257 -2245.21 250.381 -2266.23 0.0 250.381 -2266.23 79.9632 -65.9699 -2001.8556 39.9858 39.9858
1 0 -9.435268 0.0 -66.1198 10.9654 -60.1508 253.257 -2245.21 250.345 -2270.68 0.0 250.345 -2270.68 72.3333 -66.1198 -2014.1213 27.4966 27.4966
1 1 -10.186686 0.0 -81.9748 11.1526 -58.2497 253.257 -2245.21 250.41 -2256.36 0.0 250.41 -2256.36 79.8272 -81.9748 -2008.0978 35.9701 35.9701
1 2 -9.41052 0.0 -68.7951 11.0186 -59.2214 253.257 -2245.21 250.126 -2264.79 0.0 250.126 -2264.79 77.8745 -68.7951 -2005.5847 35.3802 35.3802
1 3 -9.397747 0.0 -68.6773 11.0185 -59.2001 253.257 -2245.21 250.131 -2264.75 0.0 250.131 -2264.75 77.8037 -68.6773 -2005.4926 35.4356 35.4356
1 4 -8.050667 0.0 -48.9696 11.3189 -61.4326 253.257 -2245.21 250.532 -2275.59 0.0 250.532 -2275.59 78.7842 -48.9696 -1995.2434 44.2986 44.2986
1 5 -8.39859 0.0 -60.8942 11.0491 -54.9625 253.257 -2245.21 249.756 -2255.59 0.0 249.756 -2255.59 73.1102 -60.8942 -1993.618 37.0601 37.0601
1 6 -8.739353 0.0 -65.5315 11.0847 -53.6589 253.257 -2245.21 249.988 -2252.99 0.0 249.988 -2252.99 86.948 -65.5315 -1981.5854 57.4609 57.4609
