Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
0 0 -9.56013 0.0 -74.144 7.53246 -39.9879 268.591 -2156.0 266.701 -2157.83 0.0 266.701 -2157.83 93.1628 -74.144 -1872.1104 26.7793 26.7793
0 1 -9.36962 0.0 -69.6367 7.56359 -39.872 268.591 -2156.0 266.649 -2161.44 0.0 266.649 -2161.44 93.1773 -69.6367 -1871.2505 27.5432 27.5432
0 2 -9.400779 0.0 -70.2459 7.57173 -39.8966 268.591 -2156.0 266.617 -2160.97 0.0 266.617 -2160.97 93.353 -70.2459 -1871.2458 27.5039 27.5039
0 3 -9.334728 0.0 -68.6829 7.55498 -39.8695 268.591 -2156.0 266.691 -2162.42 0.0 266.691 -2162.42 93.1742 -68.6829 -1871.2377 27.5989 27.5989
0 4 -9.425921 0.0 -71.1209 7.57584 -39.9173 268.591 -2156.0 266.57 -2159.97 0.0 266.57 -2159.97 93.4632 -71.1209 -1871.0576 27.5566 27.5566
0 5 -9.288934 0.0 -68.8669 7.42973 -40.2613 268.591 -2156.0 266.767 -2162.09 0.0 266.767 -2162.09 94.1502 -68.8669 -1870.0399 28.9873 28.9873
0 6 -9.152278 0.0 -64.9872 7.49028 -40.246 268.591 -2156.0 266.686 -2165.62 0.0 266.686 -2165.62 94.6677 -64.9872 -1869.2537 29.9456 29.9456
0 7 -9.398722 0.0 -70.3522 7.55306 -40.8507 268.591 -2156.0 266.549 -2161.65 0.0 266.549 -2161.65 96.9301 -70.3522 -1868.523 29.8465 29.8465
1 0 -7.3243647 0.0 -50.1794 7.51075 -40.4181 268.591 -2156.0 268.658 -2161.83 0.0 268.658 -2161.83 88.5513 -50.1794 -1854.8003 47.5711 47.5711
1 1 -7.312219 0.0 -50.1075 7.54924 -40.3724 268.591 -2156.0 268.653 -2161.63 0.0 268.653 -2161.63 88.8465 -50.1075 -1854.2378 47.9008 47.9008
1 2 -7.3285427 0.0 -50.4949 7.56617 -40.3732 268.591 -2156.0 268.645 -2161.26 0.0 268.645 -2161.26 89.1588 -50.4949 -1853.9512 48.0625 48.0625
1 3 -6.993182 0.0 -45.8062 7.51637 -40.3635 268.591 -2156.0 268.48 -2162.84 0.0 268.48 -2162.84 88.8101 -45.8062 -1851.3562 47.8246 47.8246
1 4 -6.9928656 0.0 -45.8277 7.51492 -40.3643 268.591 -2156.0 268.477 -2162.8 0.0 268.477 -2162.8 88.8485 -45.8277 -1851.3022 47.8203 47.8203
1 5 -6.923397 0.0 -44.9256 7.4918 -40.5099 268.591 -2156.0 268.483 -2163.25 0.0 268.483 -2163.25 89.1045 -44.9256 -1850.588 49.6089 49.6089
1 6 -6.9271007 0.0 -45.0882 7.47944 -40.5048 268.591 -2156.0 268.481 -2163.07 0.0 268.481 -2163.07 89.293 -45.0882 -1850.3843 49.5973 49.5973
1 7 -6.9282103 0.0 -45.0964 7.47163 -40.5112 268.591 -2156.0 268.472 -2163.08 0.0 268.472 -2163.08 89.4725 -45.0964 -1850.2319 49.6044 49.6044
2 0 -7.3781195 0.0 -52.5734 7.48993 -40.3276 268.591 -2156.0 268.807 -2159.18 0.0 268.807 -2159.18 88.6762 -52.5734 -1854.2701 49.3591 49.3591
2 1 -7.3781195 0.0 -52.5734 7.48993 -40.3276 268.591 -2156.0 268.807 -2159.18 0.0 268.807 -2159.18 88.6762 -52.5734 -1854.2701 49.3591 49.3591
2 2 -7.3781195 0.0 -52.5734 7.48993 -40.3276 268.591 -2156.0 268.807 -2159.18 0.0 268.807 -2159.18 88.6762 -52.5734 -1854.2701 49.3591 49.3591
2 3 -7.362343 0.0 -52.5863 7.51556 -40.4367 268.591 -2156.0 268.78 -2158.93 0.0 268.78 -2158.93 88.8697 -52.5863 -1853.8665 49.706 49.706
2 4 -7.362343 0.0 -52.5863 7.51556 -40.4367 268.591 -2156.0 268.78 -2158.93 0.0 268.78 -2158.93 88.8697 -52.5863 -1853.8665 49.706 49.706
2 5 -7.3026714 0.0 -51.6249 7.50968 -40.3982 268.591 -2156.0 268.889 -2159.58 0.0 268.889 -2159.58 90.3279 -51.6249 -1851.9879 51.4181 51.4181
2 6 -7.3026714 0.0 -51.6249 7.50968 -40.3982 268.591 -2156.0 268.889 -2159.58 0.0 268.889 -2159.58 90.3279 -51.6249 -1851.9879 51.4181 51.4181
2 7 -7.3026714 0.0 -51.6249 7.50968 -40.3982 268.591 -2156.0 268.889 -2159.58 0.0 268.889 -2159.58 90.3279 -51.6249 -1851.9879 51.4181 51.4181
3 0 -7.1673717 0.0 -41.8456 7.50566 -40.2744 268.591 -2156.0 266.82 -2169.17 0.0 266.82 -2169.17 89.9752 -41.8456 -1854.2202 48.6765 48.6765
3 1 -7.101521 0.0 -41.2179 7.5207 -40.2081 268.591 -2156.0 266.72 -2168.82 0.0 266.72 -2168.82 89.182 -41.2179 -1854.136 48.4245 48.4245
3 2 -7.1630507 0.0 -41.97 7.43422 -40.6934 268.591 -2156.0 267.204 -2170.03 0.0 267.204 -2170.03 91.2898 -41.97 -1853.5062 50.0735 50.0735
3 3 -7.151586 0.0 -41.8432 7.43635 -40.6873 268.591 -2156.0 267.198 -2170.02 0.0 267.198 -2170.02 91.165 -41.8432 -1853.5002 50.061 50.061
3 4 -6.814726 0.0 -42.2817 7.5913 -40.6325 268.591 -2156.0 267.105 -2163.4 0.0 267.105 -2163.4 89.456 -42.2817 -1849.1206 51.9336 51.9336
3 5 -7.039716 0.0 -40.7504 7.6508 -40.1221 268.591 -2156.0 266.975 -2168.64 0.0 266.975 -2168.64 93.8954 -40.7504 -1848.5199 53.4672 53.4672
3 6 -7.148977 0.0 -42.3086 7.65274 -40.1963 268.591 -2156.0 266.97 -2168.08 0.0 266.97 -2168.08 95.8717 -42.3086 -1847.5471 54.2381 54.2381
3 7 -7.149464 0.0 -45.3031 7.63981 -40.7132 268.591 -2156.0 267.283 -2164.48 0.0 267.283 -2164.48 96.2858 -45.3031 -1846.2144 55.4588 55.4588
4 0 -7.4288716 0.0 -52.3897 7.53988 -40.2719 268.591 -2156.0 268.257 -2159.31 0.0 268.257 -2159.31 89.6456 -52.3897 -1853.7972 51.7848 51.7848
4 1 -7.4288716 0.0 -52.3897 7.53988 -40.2719 268.591 -2156.0 268.257 -2159.31 0.0 268.257 -2159.31 89.6456 -52.3897 -1853.7972 51.7848 51.7848
4 2 -7.4288716 0.0 -52.3897 7.53988 -40.2719 268.591 -2156.0 268.257 -2159.31 0.0 268.257 -2159.31 89.6456 -52.3897 -1853.7972 51.7848 51.7848
4 3 -7.4288716 0.0 -52.3897 7.53988 -40.2719 268.591 -2156.0 268.257 -2159.31 0.0 268.257 -2159.31 89.6456 -52.3897 -1853.7972 51.7848 51.7848
4 4 -7.423713 0.0 -52.2564 7.54123 -40.2768 268.591 -2156.0 268.241 -2159.41 0.0 268.241 -2159.41 89.8382 -52.2564 -1853.5872 51.8313 51.8313
4 5 -7.423713 0.0 -52.2564 7.54123 -40.2768 268.591 -2156.0 268.241 -2159.41 0.0 268.241 -2159.41 89.8382 -52.2564 -1853.5872 51.8313 51.8313
4 6 -7.423713 0.0 -52.2564 7.54123 -40.2768 268.591 -2156.0 268.241 -2159.41 0.0 268.241 -2159.41 89.8382 -52.2564 -1853.5872 51.8313 51.8313
